Scan,Row,Col,VRefN,PPReg,rawIadj,Mean,Delta
R10-C33,10,33,39.5,174,174,41,1.5
R103-C9,103,9,40.5,156,156,41,0.5
R55-C33,55,33,37.7,170,170,41,3.3
R43-C33,43,33,37.51,174,174,41,3.49
R94-C27,94,27,40.86,169,169,41,0.14
R44-C41,44,41,38.5,174,174,41,2.5
R112-C21,112,21,40.07,173,173,41,0.93
R126-C19,126,19,38.42,171,171,41,2.58
R124-C21,124,21,40.5,152,152,41,0.5
R60-C28,60,28,38.9,174,174,41,2.1
R93-C34,93,34,38.5,174,174,41,2.5
R70-C30,70,30,38.5,174,174,41,2.5
R46-C39,46,39,40.68,169,169,41,0.32
R87-C34,87,34,40.5,169,169,41,0.5
R101-C29,101,29,38.5,174,174,41,2.5
R116-C23,116,23,40.5,169,169,41,0.5
R67-C27,67,27,38.48,173,173,41,2.52
R82-C27,82,27,38.5,169,169,41,2.5
R34-C33,34,33,39.5,152,152,41,1.5
R34-C36,34,36,38.29,170,170,41,2.71
R102-C25,102,25,39.5,174,174,41,1.5
R107-C23,107,23,40.5,174,174,41,0.5
R117-C16,117,16,37.81,171,171,41,3.19
R50-C35,50,35,39.49,174,174,41,1.51
R114-C22,114,22,39.5,152,152,41,1.5
R101-C23,101,23,39.78,174,174,41,1.22
R84-C25,84,25,39.5,152,152,41,1.5
R50-C38,50,38,40.5,170,170,41,0.5
R114-C25,114,25,40.5,174,174,41,0.5
R103-C24,103,24,40.88,170,170,41,0.12
R25-C39,25,39,38.5,170,170,41,2.5
R82-C36,82,36,40.51,169,169,41,0.49
R116-C20,116,20,39.5,169,169,41,1.5
R10-C42,10,42,40.5,170,170,41,0.5
R83-C29,83,29,38.5,170,170,41,2.5
R123-C22,123,22,39.5,173,173,41,1.5
R104-C20,104,20,39.51,152,152,41,1.49
R107-C26,107,26,40.5,174,174,41,0.5
R62-C38,62,38,38.53,174,174,41,2.47
R24-C43,24,43,40.5,174,174,41,0.5
R64-C30,64,30,39.5,170,170,41,1.5
R56-C29,56,29,39.51,174,174,41,1.49
R95-C23,95,23,40.5,174,174,41,0.5
R114-C19,114,19,39.5,171,171,41,1.5
R30-C43,30,43,38.5,174,174,41,2.5
R36-C40,36,40,38.5,174,174,41,2.5
R73-C33,73,33,40.5,174,174,41,0.5
R100-C30,100,30,40.5,174,174,41,0.5
R81-C25,81,25,38.5,152,152,41,2.5
R76-C33,76,33,40.5,152,152,41,0.5
R40-C33,40,33,40.67,169,169,41,0.33
R46-C42,46,42,39.5,169,169,41,1.5
R49-C39,49,39,39.48,174,174,41,1.52
R117-C22,117,22,40.28,174,174,41,0.72
R25-C36,25,36,40.52,169,169,41,0.48
R108-C22,108,22,40.5,152,152,41,0.5
R99-C31,99,31,40.5,174,174,41,0.5
R37-C45,37,45,39.59,174,174,41,1.41
R117-C25,117,25,40.5,169,169,41,0.5
R112-C18,112,18,40.56,173,173,41,0.44
R57-C37,57,37,40.62,174,174,41,0.38
R13-C39,13,39,37.5,170,170,41,3.5
R29-C44,29,44,40.77,170,170,41,0.23
R56-C38,56,38,38.5,152,152,41,2.5
R8-C41,8,41,39.5,170,170,41,1.5
R65-C35,65,35,40.5,170,170,41,0.5
R104-C23,104,23,39.52,174,174,41,1.48
R59-C38,59,38,38.58,174,174,41,2.42
R5-C41,5,41,40.52,170,170,41,0.48
R55-C36,55,36,39.54,174,174,41,1.46
R23-C41,23,41,40.5,170,170,41,0.5
R109-C24,109,24,38.61,173,173,41,2.39
R6-C40,6,40,39.5,174,174,41,1.5
R78-C34,78,34,37.5,170,170,41,3.5
R92-C32,92,32,39.5,174,174,41,1.5
R28-C36,28,36,40.5,174,174,41,0.5
R53-C32,53,32,40.46,170,170,41,0.54
R38-C44,38,44,39.5,174,174,41,1.5
R71-C32,71,32,39.5,170,170,41,1.5
R66-C37,66,37,40.51,174,174,41,0.49
R75-C25,75,25,40.5,169,169,41,0.5
R35-C44,35,44,39.5,174,174,41,1.5
R64-C39,64,39,38.5,169,169,41,2.5
R102-C28,102,28,40.67,174,174,41,0.33
R44-C32,44,32,40.49,152,152,41,0.51
R45-C43,45,43,40.46,170,170,41,0.54
R91-C27,91,27,39.5,174,174,41,1.5
R18-C37,18,37,40.5,169,169,41,0.5
R94-C30,94,30,39.53,174,174,41,1.47
R78-C25,78,25,40.59,174,174,41,0.41
R95-C32,95,32,39.23,174,174,41,1.77
R111-C22,111,22,39.5,169,169,41,1.5
R119-C23,119,23,38.5,174,174,41,2.5
R70-C27,70,27,39.5,156,156,41,1.5
R106-C30,106,30,39.5,152,152,41,1.5
R95-C26,95,26,40.5,170,170,41,0.5
R61-C30,61,30,37.5,170,170,41,3.5
R66-C31,66,31,38.5,170,170,41,2.5
R39-C34,39,34,40.5,170,170,41,0.5
R31-C39,31,39,40.5,143,143,41,0.5
R97-C24,97,24,39.53,174,174,41,1.47
R77-C29,77,29,39.5,170,170,41,1.5
R113-C29,113,29,40.52,169,169,41,0.48
R30-C46,30,46,39.43,174,174,41,1.57
R67-C33,67,33,40.5,152,152,41,0.5
R27-C37,27,37,39.79,172,172,41,1.21
R89-C32,89,32,40.5,170,170,41,0.5
R97-C30,97,30,40.5,174,174,41,0.5
R97-C33,97,33,38.57,174,174,41,2.43
R117-C19,117,19,39.55,173,173,41,1.45
R51-C40,51,40,40.5,169,169,41,0.5
R101-C26,101,26,39.53,169,169,41,1.47
R69-C31,69,31,36.92,170,170,41,4.08
R56-C41,56,41,40.5,174,174,41,0.5
R90-C31,90,31,39.52,174,174,41,1.48
R77-C32,77,32,40.59,174,174,41,0.41
R110-C26,110,26,40.51,174,174,41,0.49
R84-C28,84,28,40.5,170,170,41,0.5
R94-C21,94,21,40.22,173,173,41,0.78
R37-C39,37,39,39.85,169,169,41,1.15
R111-C25,111,25,40.01,169,169,41,0.99
R74-C35,74,35,39.5,174,174,41,1.5
R22-C39,22,39,40.5,172,172,41,0.5
R26-C44,26,44,39.5,170,170,41,1.5
R50-C32,50,32,38.5,152,152,41,2.5
R48-C31,48,31,40.5,170,170,41,0.5
R60-C31,60,31,38.5,170,170,41,2.5
R124-C24,124,24,38.5,156,156,41,2.5
R75-C28,75,28,39.51,170,170,41,1.49
R54-C34,54,34,37.5,170,170,41,3.5
R111-C28,111,28,40.5,152,152,41,0.5
R11-C38,11,38,40.5,170,170,41,0.5
R58-C36,58,36,38.52,170,170,41,2.48
R32-C41,32,41,38.5,174,174,41,2.5
R104-C29,104,29,40.46,174,174,41,0.54
R122-C17,122,17,40.5,171,171,41,0.5
R68-C38,68,38,40.5,169,169,41,0.5
R26-C38,26,38,38.5,170,170,41,2.5
R109-C18,109,18,40.36,169,169,41,0.64
R83-C32,83,32,39.5,152,152,41,1.5
R38-C38,38,38,38.5,152,152,41,2.5
R86-C26,86,26,38.5,152,152,41,2.5
R120-C25,120,25,39.5,152,152,41,1.5
R32-C38,32,38,40.32,172,172,41,0.68
R48-C43,48,43,40.5,152,152,41,0.5
R113-C20,113,20,40.95,156,156,41,0.05
R65-C38,65,38,38.54,152,152,41,2.46
R42-C37,42,37,40.5,174,174,41,0.5
R87-C28,87,28,40.5,174,174,41,0.5
R76-C30,76,30,40.5,169,169,41,0.5
R118-C27,118,27,39.5,152,152,41,1.5
R51-C31,51,31,38.5,174,174,41,2.5
R96-C22,96,22,39.5,156,156,41,1.5
